source;dataset
http://data.utpl.edu.ec/ecuadorresearch/lod/sparql;http://schema.org/RadioStation
http://data.utpl.edu.ec/ecuadorresearch/lod/sparql;http://dbpedia.org/ontology/EducationalInstitution
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/Church103028079
http://dbpedia.org/sparql;http://dbpedia.org/ontology/Broadcaster
http://dbpedia.org/sparql;http://dbpedia.org/ontology/Library
http://dbpedia.org/sparql;http://dbpedia.org/ontology/University
http://dbpedia.org/sparql;http://dbpedia.org/ontology/Diocese
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/19th-centuryRomanCatholicChurchBuildings
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/ModernOrthodoxSynagogues
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/ListedBuildingsInLeeds
http://dbpedia.org/sparql;http://dbpedia.org/ontology/Prison
http://dbpedia.org/sparql;http://dbpedia.org/ontology/Park
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/ParksAndCommonsInManchester
http://dbpedia.org/sparql;http://dbpedia.org/ontology/AmusementParkAttraction
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/AviationSchools
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/ResearchLibraries
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/AcademiesInKent
http://dbpedia.org/sparql;http://dbpedia.org/class/yago/Amphitheater102705201
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/Antenna
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/Park
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/PlaceOfWorship
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/Prison
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/Cathedral
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/Library
http://linkedgeodata.org/sparql;http://linkedgeodata.org/ontology/University
